Business,Category,City,Phone,Address,Rating,Reviews,Web presence,Existing link,Score,Google Maps
Machete Bar,Bar,National City,(619) 773-6986,"2325 Highland Ave, National City, CA 91950",4.6,451,Social only,http://www.facebook.com/Machetebeerhouse,310.1,https://www.google.com/maps/place/?q=place_id:ChIJXWN3BhdS2YARB9JjLsAmiU0
Tacos El Portal,Mexican restaurant,Escondido,(760) 489-2649,"311 W Mission Ave, Escondido, CA 92025",4.2,310,No website,,310.0,https://www.google.com/maps/place/?q=place_id:ChIJRWqUvqL024ARPwRzGy0p-Zo
Chico's Restaurant,Mexican restaurant,San Marcos,(760) 471-1178,"505 W San Marcos Blvd, San Marcos, CA 92069",4.1,310,No website,,310.0,https://www.google.com/maps/place/?q=place_id:ChIJe00pHqiK24AR4Ehx8ycenzI
Rock N Roll Scoops,Ice cream shop,Vista,(760) 518-7362,"1851 W Vista Way Ste A, Vista, CA 92083",5,248,No website,,310.0,https://www.google.com/maps/place/?q=place_id:ChIJvV30DQBx3IAR-xh1X2rUMwA
Los Cabos Mexican Food,Mexican restaurant,San Marcos,(760) 471-4739,"165 S Rancho Santa Fe Rd, San Marcos, CA 92078",4.4,309,No website,,309.0,https://www.google.com/maps/place/?q=place_id:ChIJf31k4xR13IARhC9TaSA1-pc
Value Auto Repair,Auto repair shop,National City,(619) 474-2550,"115 E 17th St, National City, CA 91950",4.9,247,No website,,308.8,https://www.google.com/maps/place/?q=place_id:ChIJVw6Sfj9S2YARtsLlbjZWPGI
Lourdes Mexican Food To Go,Mexican restaurant,Escondido,(760) 746-1389,"615 W El Norte Pkwy, Escondido, CA 92026",4.6,449,Social only,https://www.lourdesmex.com/,308.7,https://www.google.com/maps/place/?q=place_id:ChIJw2Y8OrX024ARwOTA8qIJPps
House of Beauty,Hair salon,Chula Vista,(619) 422-7860,"555 Broadway #1010, Chula Vista, CA 91910",4.6,246,No website,,307.5,https://www.google.com/maps/place/?q=place_id:ChIJdThkBOdN2YARg8G1Am05OKk
Orlando's Taco Shop,Taco restaurant,San Diego,(619) 701-1066,"3182 National Ave, San Diego, CA 92113",4.3,307,No website,,307.0,https://www.google.com/maps/place/?q=place_id:ChIJGws0RKdT2YARLorKkYCV28I
Tam's Alteration & Dry Cleaning,Dry cleaner,La Mesa,(619) 303-3367,"8207 La Mesa Blvd, La Mesa, CA 91942",4.8,245,No website,,306.2,https://www.google.com/maps/place/?q=place_id:ChIJkZLJSCNX2YARx4b7W33LBdI
North Park Smog Test Only,Smog inspection station,San Diego,(619) 564-8933,"3827 Bancroft St, San Diego, CA 92104",4.8,245,No website,,306.2,https://www.google.com/maps/place/?q=place_id:ChIJgwJKGV9U2YARMDEchAwiUZQ
La Tiendita Mexican Market,Mexican grocery store,San Diego,(858) 270-2221,"3851 Clairemont Mesa Blvd #53, San Diego, CA 92117",4.4,306,No website,,306.0,https://www.google.com/maps/place/?q=place_id:ChIJ91Qb-1gA3IARNCy3eXtfx6A
Rodrigo's Taco Shop,Mexican restaurant,San Diego,(858) 538-2067,"Carmel Mountain Rd, San Diego, CA 92129",4.2,306,No website,,306.0,https://www.google.com/maps/place/?q=place_id:ChIJWwBn4sX524ARs9hDmbomVPE
Lucky Donuts & Deli,Donut shop,San Diego,(858) 831-9218,"9910 Mira Mesa Blvd d2, San Diego, CA 92131",4.7,244,No website,,305.0,https://www.google.com/maps/place/?q=place_id:ChIJ5-0LBxf524ARUWIXPF4vgL4
Pam's Donuts and Frozen Yogurt,Donut shop,Vista,(760) 940-1989,"510 Hacienda Dr #109, Vista, CA 92081",4.6,243,No website,,303.8,https://www.google.com/maps/place/?q=place_id:ChIJLTBGuR103IARMGRIsIhUECA
Mrs. Taco,Mexican restaurant,Vista,(760) 630-4225,"1385 E Vista Way, Vista, CA 92084",4.4,551,Booking/3rd-party only,https://mrstacovistaway.weebly.com/,303.1,https://www.google.com/maps/place/?q=place_id:ChIJDxiLaIt23IARVmg_eRlmd4w
Sawaya Brothers,Grocery store,San Diego,(619) 232-6419,"425 S 30th St APT A, San Diego, CA 92113",4.2,303,No website,,303.0,https://www.google.com/maps/place/?q=place_id:ChIJCYTowVxT2YARQWm2ft3IBB0
Birriería Y Menudería Guadalajara,Mexican restaurant,San Diego,(619) 228-9747,"4448 University Ave, San Diego, CA 92105",4.5,240,No website,,300.0,https://www.google.com/maps/place/?q=place_id:ChIJo_BWUItV2YARya1eWtMSBsU
MID-CITY SMOG CHECK CENTER,Smog inspection station,San Diego,(619) 282-1120,"3085 Madison Ave #B, San Diego, CA 92116",4.8,240,No website,,300.0,https://www.google.com/maps/place/?q=place_id:ChIJ-Ssgbf9U2YARr471zRs_ols
Garcia's Tire Shop,Tire shop,Lakeside,(619) 443-4090,"12030 Woodside Ave, Lakeside, CA 92040",4.5,240,No website,,300.0,https://www.google.com/maps/place/?q=place_id:ChIJxRn5pH7i24ARp7c_xXRax_Q
LIQUOR NATION WINE & MORE,Liquor store,Bonsall,(760) 945-9377,"5527 Mission Rd, Bonsall, CA 92003",4.4,300,No website,,300.0,https://www.google.com/maps/place/?q=place_id:ChIJp4P80dN53IAR1osbrxA98u0
American Recycling,Recycling center,San Diego,(619) 266-8456,"4070 Home Ave, San Diego, CA 92105",4.1,300,No website,,300.0,https://www.google.com/maps/place/?q=place_id:ChIJRccZ4otT2YARghM1yoToEkE
American Deluxe Barbershop,Barber shop,San Marcos,(760) 290-3878,"727 W San Marcos Blvd, San Marcos, CA 92078",4.8,239,No website,,298.8,https://www.google.com/maps/place/?q=place_id:ChIJAT-co7J13IAR2SzuW_wOqtE
Nathan's Barber & Beauty Salon,Barber shop,San Diego,(858) 277-7009,"4965 Diane Ave, San Diego, CA 92117",4.6,239,No website,,298.8,https://www.google.com/maps/place/?q=place_id:ChIJgVPUQ4gA3IAR69_H5ba5mBk
T K Doughnut,Donut shop,San Diego,(619) 906-7892,"3095 Clairemont Dr, San Diego, CA 92117",4.8,239,No website,,298.8,https://www.google.com/maps/place/?q=place_id:ChIJmdi6PRkA3IARgi_RsW3HMoo
Diego's Farmers Market,Mexican grocery store,El Cajon,(619) 334-4404,"1039 Broadway, El Cajon, CA 92021",4.6,238,No website,,297.5,https://www.google.com/maps/place/?q=place_id:ChIJpWB3ciBZ2YARToF4CNOUIXc
La Mixteca,Ice cream shop,Vista,(760) 639-0896,"1110 N Santa Fe Ave F, Vista, CA 92083",4.2,296,No website,,296.0,https://www.google.com/maps/place/?q=place_id:ChIJb4IOxb923IARg_VdKlkZjZA
Maui Hawaiian Barbeque,Hawaiian restaurant,Oceanside,(760) 722-8383,"2455 Vista Way D, Oceanside, CA 92054",3.9,296,No website,,296.0,https://www.google.com/maps/place/?q=place_id:ChIJAWLZy41x3IAReJwigFzwsUI
Hot Dogs Tomateros,Hot dog restaurant,National City,(619) 571-5866,"422 Highland Ave, National City, CA 91950",4.4,295,No website,,295.0,https://www.google.com/maps/place/?q=place_id:ChIJlRjnyslT2YARjEO38jsBkTA
Marco’s Mobile Detailing,Car detailing service,Oceanside,(760) 675-5802,"308 S El Camino Real A, Oceanside, CA 92058",5,429,Booking/3rd-party only,https://tek63750000.wixsite.com/marcos-mobile-detai,294.9,https://www.google.com/maps/place/?q=place_id:ChIJk2aWeGtx3IARR3-JaaoAUX4
College Avenue EyeCare (inside Walmart),Optometrist,San Diego,(619) 286-1291,"3412 College Ave, San Diego, CA 92115",4.9,429,Booking/3rd-party only,https://collegeaveeyecare.setmore.com/,294.9,https://www.google.com/maps/place/?q=place_id:ChIJ03X8_4RX2YARqq40IlQzMqc
The Cowshed,Bar,San Marcos,(760) 471-2939,"502 E Mission Rd, San Marcos, CA 92069",4,535,Social only,https://www.instagram.com/cowshedbarsd/,294.2,https://www.google.com/maps/place/?q=place_id:ChIJj_hYKLiK24ARQaho3R4xphU
Fresh Up Barber Shop,Barber shop,National City,(619) 817-1754,"3030 Plaza Bonita Rd, National City, CA 91950",4,294,No website,,294.0,https://www.google.com/maps/place/?q=place_id:ChIJ50K3kuJR2YARXVbw_Qw-m0I
La Moreliana,Bakery,Chula Vista,(619) 761-4025,"275 Quintard St, Chula Vista, CA 91911",4.6,235,No website,,293.8,https://www.google.com/maps/place/?q=place_id:ChIJM-JLRY5O2YAR30WFWpF4GOo
BLUE NILE Ethiopian market and restaurant,Ethiopian restaurant,San Diego,(619) 228-9811,"2425 El Cajon Blvd, San Diego, CA 92104",4.8,235,No website,,293.8,https://www.google.com/maps/place/?q=place_id:ChIJB9RfYiVV2YARq2G7TgXhLa8
The Break Room,Bar,San Diego,(858) 737-4039,"4365 Convoy St, San Diego, CA 92111",4.4,293,No website,,293.0,https://www.google.com/maps/place/?q=place_id:ChIJszOmFev_24ARufJeKB6wtSQ
Stud Cuts,Barber shop,Oceanside,(760) 721-9009,"210 N Freeman St, Oceanside, CA 92054",4.5,425,Social only,https://www.facebook.com/Stud-Cuts-Barbershop-Oceanside-123700907670061/,292.2,https://www.google.com/maps/place/?q=place_id:ChIJyQe5zTBu3IARSnqBVgo5K_o
Ohana Hawaiian BBQ,Hawaiian restaurant,National City,(619) 336-9889,"1430 E Plaza Blvd Ste E7A, National City, CA 91950",4.2,292,No website,,292.0,https://www.google.com/maps/place/?q=place_id:ChIJEze81TpS2YARYWhNfkpy16I
Chic Nails Lounge,Nail salon,San Diego,(619) 666-1966,"4003 W Point Loma Blvd, San Diego, CA 92110",4.9,232,No website,,290.0,https://www.google.com/maps/place/?q=place_id:ChIJbazqaIqr3oARMs-_jgWwGy8
The Girls Deli,Deli,San Diego,(619) 228-9992,"3075 El Cajon Blvd, San Diego, CA 92104",4.5,232,No website,,290.0,https://www.google.com/maps/place/?q=place_id:ChIJHxjV4Q9V2YARzUqwFEdXaXw
Faded Craft Barber Shop,Barber shop,San Diego,(619) 534-8659,"4390 Palm Ave Unit c, San Diego, CA 92154",4.9,420,Booking/3rd-party only,https://getsquire.com/barbershops/book/faded-craft-barber-shop-palm-ave-san-diego/professional,288.8,https://www.google.com/maps/place/?q=place_id:ChIJddbHUu5P2YARSHlTdRo0DNA
Super Laundry,Laundromat,El Cajon,(619) 465-6943,"2890 Fletcher Pkwy, El Cajon, CA 92020",4.6,230,No website,,287.5,https://www.google.com/maps/place/?q=place_id:ChIJf5Yv3ZtX2YARTPc4GbEx5DA
Birria’s El Padrino,Taco restaurant,Oceanside,(760) 472-6939,"3753 Mission Ave #121a, Oceanside, CA 92058",4.3,286,No website,,286.0,https://www.google.com/maps/place/?q=place_id:ChIJT9R4i6dx3IARge_6gG4AtLc
Tacos El Gallo,Taco restaurant,El Cajon,(619) 499-5500,"569 N 2nd St #6449, El Cajon, CA 92021",4.5,415,Social only,https://www.instagram.com/tacoselgallosd?igsh=MzRlODBiNWFlZA==,285.3,https://www.google.com/maps/place/?q=place_id:ChIJBSr2lHJZ2YARPANPdzQ63RE
Haircut By Leila,Hair salon,San Marcos,(760) 536-3388,"1921 W San Marcos Blvd, San Marcos, CA 92078",4.8,228,No website,,285.0,https://www.google.com/maps/place/?q=place_id:ChIJnWJHQml13IAR2yvme6S8IuU
Timekeepers,Clock repair service,Encinitas,(760) 944-6333,"199 N El Camino Real # A, Encinitas, CA 92024",4.9,228,No website,,285.0,https://www.google.com/maps/place/?q=place_id:ChIJw9rQRYwL3IARgW4lpxqaccg
Botanas Locas,Fast food restaurant,San Diego,(619) 799-1577,"3323 Palm Ave, San Diego, CA 92154",4.6,227,No website,,283.8,https://www.google.com/maps/place/?q=place_id:ChIJh7LCmrlO2YARqZqbaDSLDJQ
Submarina California Subs Santee,Sandwich shop,Santee,(619) 448-8040,"9713 Mission Gorge Rd, Santee, CA 92071",4.6,227,No website,,283.8,https://www.google.com/maps/place/?q=place_id:ChIJxWVg8v9X2YARmXbOxM5YxXQ
Edie's Tire Shop,Tire shop,San Diego,(619) 528-9202,"3468 University Ave, San Diego, CA 92104",4.6,227,No website,,283.8,https://www.google.com/maps/place/?q=place_id:ChIJ_5LSbVxU2YARFx1M-krwOVY
Midway Smoke & Vape,Tobacco shop,San Diego,(619) 228-9599,"3760 Gaines St Ste A, San Diego, CA 92110",4.8,227,No website,,283.8,https://www.google.com/maps/place/?q=place_id:ChIJ-TQWp0Gr3oARLiireit4QGw
Flora Blanc Nail & Lash Studio,Nail salon,Encinitas,(760) 704-8848,"687 S Coast Hwy 101 #157, Encinitas, CA 92024",4.7,411,Booking/3rd-party only,https://flora-blanc-llc.square.site/,282.6,https://www.google.com/maps/place/?q=place_id:ChIJnWJkLpEN3IARGufvb9akQmc
Double Image Barber Shop,Barber shop,El Cajon,(619) 655-6435,"505 Graves Ave, El Cajon, CA 92020",4.7,226,No website,,282.5,https://www.google.com/maps/place/?q=place_id:ChIJV1R2DLVZ2YARBRQIZUqZv2A
Twin Oaks Market,Grocery store,San Marcos,(760) 744-9457,"2148 N Twin Oaks Valley Rd, San Marcos, CA 92069",4.5,226,No website,,282.5,https://www.google.com/maps/place/?q=place_id:ChIJAUJRKmSK24ARl5MydvD4Rug
Andrés Latin Market,Grocery store,San Diego,(619) 275-6523,"1249 Morena Blvd, San Diego, CA 92110",4.5,226,No website,,282.5,https://www.google.com/maps/place/?q=place_id:ChIJX7ZqYJSq3oAR0in4cfBAfuc
Jack in the Box,Mexican restaurant,Fallbrook,(760) 723-8565,"1465 S Mission Rd, Fallbrook, CA 92028",3.6,731,Social only,https://locations.jackinthebox.com/us/ca/fallbrook/1465-s-mission-rd?utm_source=google&utm_medium=local&utm_campaign=google-local,281.4,https://www.google.com/maps/place/?q=place_id:ChIJX2X5S7F-3IARtPn-4AyjnrY
THANK YOU VERY MOCHI,Dessert shop,Chula Vista,(619) 422-6677,"1210 3rd Ave, Chula Vista, CA 91911",4.8,225,No website,,281.2,https://www.google.com/maps/place/?q=place_id:ChIJr4gO-ohO2YAR-p9ZFXTE2Ao
Culture Barber Lounge,Barber shop,Oceanside,(760) 330-9881,"3910 Vista Way #114, Oceanside, CA 92056",4.8,224,No website,,280.0,https://www.google.com/maps/place/?q=place_id:ChIJ3y4zbh1x3IARC16pJOduvaY
Greene Cat Liquors,Liquor store,San Diego,(619) 262-2865,"5102 Los Alamos Dr, San Diego, CA 92114",4.2,280,No website,,280.0,https://www.google.com/maps/place/?q=place_id:ChIJvdW9Z9lT2YARfWzL5BGv0AE
David's Tires,Used tire shop,San Diego,(619) 414-4552,"4724 Federal Blvd, San Diego, CA 92102",4.7,224,No website,,280.0,https://www.google.com/maps/place/?q=place_id:ChIJQSppR_BT2YARNIRn1omfM-Q
City Cuts Barber Shop,Barber shop,San Diego,(619) 739-1639,"1350 Sixth Ave #150, San Diego, CA 92101",4.9,406,Booking/3rd-party only,https://www.vagaro.com/citycutsbarbershop619/bookings,279.1,https://www.google.com/maps/place/?q=place_id:ChIJUzUZrcqs3oARuK96Bcn4eaM
Helix Brewing Co.,Brewery,La Mesa,(619) 741-8447,"8101 Commercial St, La Mesa, CA 91942",4.7,406,Social only,http://www.drinkhelix.com/,279.1,https://www.google.com/maps/place/?q=place_id:ChIJMxHOnRlX2YARSD9GxU4ewfg
Spin Cycle Coin Laundry,Laundromat,Chula Vista,(619) 691-9111,"1355 Broadway, Chula Vista, CA 91911",4.2,279,No website,,279.0,https://www.google.com/maps/place/?q=place_id:ChIJCfgYO4JO2YAR29NWK07dNg8
Dia Del Cafe,Coffee shop,San Diego,(619) 538-7067,"2873 Adams Ave A, San Diego, CA 92116",4.7,223,No website,,278.8,https://www.google.com/maps/place/?q=place_id:ChIJO6pwAl9V2YAR-rJZyCbuvQs
Jilberto's,Mexican restaurant,Escondido,(760) 747-0895,"538 Nordahl Rd, Escondido, CA 92029",4.1,278,No website,,278.0,https://www.google.com/maps/place/?q=place_id:ChIJiwjbXdf024ARUZ--YcKzp-8
Los Tapatios Mexican Food,Mexican restaurant,San Diego,(619) 434-6836,"2335 Reo Dr, San Diego, CA 92139",4.4,278,No website,,278.0,https://www.google.com/maps/place/?q=place_id:ChIJN1HO_JJR2YAR6vL5VFGRM5c
Lotus,Nail salon,San Diego,(619) 523-1969,"3555 Rosecrans St #113, San Diego, CA 92110",4.7,222,No website,,277.5,https://www.google.com/maps/place/?q=place_id:ChIJo6m0hQ2r3oARviPX8yXxl-Q
Yiko Yiko,Bakery,San Diego,(858) 384-2038,"8008 Clairemont Mesa Blvd, San Diego, CA 92111",4.5,222,No website,,277.5,https://www.google.com/maps/place/?q=place_id:ChIJcwBEJLz_24ARtr2dKTU2szo
Ranch Market & Deli,Deli,Rancho Santa Fe,(858) 756-4308,"16236 San Dieguito Rd #213, Rancho Santa Fe, CA 92091",4.3,277,No website,,277.0,https://www.google.com/maps/place/?q=place_id:ChIJHQDcUDQI3IAR40ddBQdoIEs
Allen's Wrench,Auto repair shop,San Marcos,(760) 744-1192,"1620 Grand Ave #8, San Marcos, CA 92078",4.9,221,No website,,276.2,https://www.google.com/maps/place/?q=place_id:ChIJkZSWPRV13IARGgL22PCiTm0
Cuscatlan Salvadorean Food,Salvadoran restaurant,San Diego,(858) 707-7003,"7516 Mesa College Dr, San Diego, CA 92111",4.8,401,Booking/3rd-party only,https://slicelife.com/restaurants/ca/san-diego/92111/cuscatlan-san-diego/menu,275.7,https://www.google.com/maps/place/?q=place_id:ChIJl1-zOjX_24ARFQseFJ9BIm8
Penasquitos Barber Shop,Barber shop,San Diego,(858) 672-2245,"11075 Carmel Mountain Rd #101, San Diego, CA 92129",4.5,220,No website,,275.0,https://www.google.com/maps/place/?q=place_id:ChIJf2vIp_z524ARm8z1d4kZH2g
South Bay Supps,Vitamin & supplements store,National City,(619) 721-9465,"831 E 30th St, National City, CA 91950",5,219,No website,,273.8,https://www.google.com/maps/place/?q=place_id:ChIJiTp-mRpS2YARp4PXpbkS0XY
La Malcriada Birrieria y mas,Mexican restaurant,San Diego,(619) 940-0830,"130 S 30th St, San Diego, CA 92113",4.9,219,No website,,273.8,https://www.google.com/maps/place/?q=place_id:ChIJ_84zFoBT2YARVrjo8HK1Ku0
Brandywine Liquor,Liquor store,Chula Vista,(619) 421-1970,"1655 Brandywine Ave # A, Chula Vista, CA 91911",4.7,398,Social only,https://www.instagram.com/brandywineliquor/?hl=en,273.6,https://www.google.com/maps/place/?q=place_id:ChIJkTk5_x5P2YARGWiA6TtoFus
Soto's Mexican Food #2,Mexican restaurant,San Diego,(858) 292-8470,"9353 Clairemont Mesa Blvd I, San Diego, CA 92123",4.3,496,Booking/3rd-party only,https://www.clover.com/online-ordering/sotosmexicanfood2,272.8,https://www.google.com/maps/place/?q=place_id:ChIJJ0UJvLT_24ARSusmFV1TTZk
Ace Muffler Shop,Muffler shop,San Diego,(619) 230-1370,"2260 National Ave, San Diego, CA 92113",4.9,218,No website,,272.5,https://www.google.com/maps/place/?q=place_id:ChIJ84yYiBJT2YAR5cn8AGBTOhM
Subman,Sandwich shop,Encinitas,(760) 942-7376,"204 N El Camino Real, Encinitas, CA 92024",4.7,218,No website,,272.5,https://www.google.com/maps/place/?q=place_id:ChIJY_XF54wL3IARz-MDvjI1_s4
Birriería La Lotería,Restaurant,Lemon Grove,(619) 392-4886,"6867 Federal Blvd, Lemon Grove, CA 91945",4.6,217,No website,,271.2,https://www.google.com/maps/place/?q=place_id:ChIJNdK-EtlR2YAR_lnjlQ6U2n0
O'Side Sports Bar & Grill,Bar & grill,Oceanside,(760) 696-3118,"113 S Coast Hwy, Oceanside, CA 92054",4.3,271,No website,,271.0,https://www.google.com/maps/place/?q=place_id:ChIJuex5BTpu3IAReEiXTNU2KaM
Smiles By Design Dentistry of San Diego,Dentist,San Diego,(858) 485-5552,"15373 Innovation Dr Ste 110, San Diego, CA 92128",5,216,No website,,270.0,https://www.google.com/maps/place/?q=place_id:ChIJfdtkhgH624ARBq8tiVNp_lY
Serranos Mexican Food,Mexican restaurant,Escondido,(760) 291-1229,"642 W Mission Ave, Escondido, CA 92025",4,269,No website,,269.0,https://www.google.com/maps/place/?q=place_id:ChIJ572Mk73024ARpL-dn6pV05U
TECH N FIX - “REPAIR CENTER” phone-BUY/SELL$,Mobile phone repair shop,National City,(619) 919-4678,"By Victoria’s Secret, 3030 Plaza Bonita Rd kiosk-9125 Level-1, National City, CA 91950",4.8,215,No website,,268.8,https://www.google.com/maps/place/?q=place_id:ChIJqyUuGuVR2YARsNUYUr5fxdw
La Palapa Authentic Mexican Food,Mexican restaurant,San Diego,(858) 490-1190,"4386 Moraga Ave, San Diego, CA 92117",4.4,268,No website,,268.0,https://www.google.com/maps/place/?q=place_id:ChIJaeMZgEMB3IAR7TkSrgXUiC0
Rancho Villa's Mexican Food,Mexican restaurant,El Cajon,(619) 469-4753,"2425 Fletcher Pkwy, El Cajon, CA 92020",4.2,487,Booking/3rd-party only,https://www.doordash.com/store/rancho-villa's-mexican-food-el-cajon-620989/,267.9,https://www.google.com/maps/place/?q=place_id:ChIJt8p4KJtX2YARQOiSyq0sn4U
Chroma Nails Lounge and Spa San Diego,Nail salon,San Diego,(858) 673-8808,"11134 Rancho Carmel Dr #101, San Diego, CA 92128",4.1,266,No website,,266.0,https://www.google.com/maps/place/?q=place_id:ChIJz8y34P7524AR039spSWvu-Y
La Perla Tapatia,Mexican restaurant,Oceanside,(760) 722-4158,"625 N Redondo Dr, Oceanside, CA 92057",4,264,No website,,264.0,https://www.google.com/maps/place/?q=place_id:ChIJKcpaeZBw3IARB8LkN98UnLQ
Friar Tux,Tuxedo shop,Chula Vista,(619) 482-5222,"535 Telegraph Canyon Rd, Chula Vista, CA 91910",4.8,384,Social only,https://www.friartux.com/locations-chula-vista,264.0,https://www.google.com/maps/place/?q=place_id:ChIJU1HNOk5O2YARtpOsvo5AEts
Ted's Garage,Auto repair shop,Chula Vista,(619) 427-1417,"1270 Third Ave, Chula Vista, CA 91911",4.8,211,No website,,263.8,https://www.google.com/maps/place/?q=place_id:ChIJOZhJm4hO2YARisiCAAOfJkw
Danny's Donuts,Donut shop,Vista,(760) 724-4637,"102 Eucalyptus Ave #6028, Vista, CA 92084",4.8,383,Social only,https://m.facebook.com/Dannys-Donuts-524341650933280/,263.3,https://www.google.com/maps/place/?q=place_id:ChIJs72FHJ923IARgLwKCmYVrWM
Junior's Taco Shop,Taco restaurant,Vista,(760) 727-3366,"1680 S Melrose Dr #110, Vista, CA 92081",4.3,263,No website,,263.0,https://www.google.com/maps/place/?q=place_id:ChIJBxhBP2h03IAR2NyddOxiZps
Salsa Market,Grocery store,Vista,(760) 630-0819,"1100 N Santa Fe Ave, Vista, CA 92083",4.1,263,No website,,263.0,https://www.google.com/maps/place/?q=place_id:ChIJtTdrz7923IARjncPCtnw5uU
Mi Reyna Tortilleria,Mexican restaurant,Escondido,(760) 781-5654,"426 W 2nd Ave E, Escondido, CA 92025",4.7,210,No website,,262.5,https://www.google.com/maps/place/?q=place_id:ChIJj-Quq4T024ARu8R0vfGsZ2Q
One More Thats It Pub,Bar,Oceanside,(760) 433-3781,"231 Airport Rd, Oceanside, CA 92058",4.1,262,No website,,262.0,https://www.google.com/maps/place/?q=place_id:ChIJNXJLljJw3IARDSDImxo5_nk
664 TJ Birriería,Mexican restaurant,National City,(619) 856-5919,"2503 Sweetwater Rd, National City, CA 91950",4.3,261,No website,,261.0,https://www.google.com/maps/place/?q=place_id:ChIJAwyMgKNR2YARk30LrQsJWVw
Mis Cuates Taco Shop,Mexican restaurant,Pala,(760) 742-1302,"1777 Pala Mission Rd, Pala, CA 92059",4.1,261,No website,,261.0,https://www.google.com/maps/place/?q=place_id:ChIJZ3BDkYOG24ARzHfOL1MRJtE
Cafe 88,Dessert shop,El Cajon,(619) 312-1077,"737 Jamacha Rd, El Cajon, CA 92019",4.3,261,No website,,261.0,https://www.google.com/maps/place/?q=place_id:ChIJF9Y_9nFZ2YARx2qR0ojuLmQ
Midway Express Car Wash,Car wash,San Diego,(619) 223-1691,"3460 Midway Dr, San Diego, CA 92110",4,260,No website,,260.0,https://www.google.com/maps/place/?q=place_id:ChIJ3wR2v_uq3oAR4h4zjcln2KU
25th Smoke and Vape,Smoke shop,San Diego,(619) 228-9588,"2479 Broadway, San Diego, CA 92102",5,378,Social only,https://linktr.ee/25thsmokeandvape?fbclid=PAQ0xDSwKeJ3dleHRuA2FlbQIxMQABp7vt0GzI3CjW4wTLON8HmYpf69J8Bm5g8wqKdJ_iQ9pMhdMW0ME7Z8uNqPO8_aem_J_Z1OM2Ew0aCdiGPG2RUXw,259.9,https://www.google.com/maps/place/?q=place_id:ChIJ-6dMWfpT2YARZrUMz1ciiv0
North Coast Village Patrol,Security guard service,Oceanside,(760) 439-5662,"999 N Pacific St Unit D311, Oceanside, CA 92054",4.5,207,No website,,258.8,https://www.google.com/maps/place/?q=place_id:ChIJxcmrTDdu3IARJ2Ie8nPrh2o
Christy's Donuts,Donut shop,San Diego,(858) 560-6300,"8690 Aero Dr #118, San Diego, CA 92123",4.6,207,No website,,258.8,https://www.google.com/maps/place/?q=place_id:ChIJYb7DTdr_24ARe-HkjAFvMBw
Stadium Market and Liquor,Liquor store,San Diego,(858) 277-9628,"2677 Mission Village Dr, San Diego, CA 92123",4.6,207,No website,,258.8,https://www.google.com/maps/place/?q=place_id:ChIJe5du_pxV2YARHkE-jFB_1xw
Imperial Liquor,Liquor store,National City,(619) 470-1093,"3106 E 16th St #8, National City, CA 91950",4.6,207,No website,,258.8,https://www.google.com/maps/place/?q=place_id:ChIJ37_HH4xR2YARPJhyNMeaZMM
Main Street Barbershop,Barber shop,El Cajon,(619) 401-2713,"1205 E Main St, El Cajon, CA 92021",4.7,206,No website,,257.5,https://www.google.com/maps/place/?q=place_id:ChIJ_6DZp6dZ2YAR4-KW1IijeZw
Henry's Auto Repair,Auto repair shop,San Diego,(619) 563-8788,"4881 University Ave, San Diego, CA 92105",4.6,206,No website,,257.5,https://www.google.com/maps/place/?q=place_id:ChIJAWs_ffRV2YARsYImYgDrbBw
Arrieros Pet Shop,Pet store,Spring Valley,(619) 434-3207,"9531 Jamacha Blvd, Spring Valley, CA 91977",4.1,256,No website,,256.0,https://www.google.com/maps/place/?q=place_id:ChIJ6-3P9HxQ2YAReQtjQPP1Yz4
Venice Day Spa,Massage spa,Chula Vista,(619) 420-8809,"645 H St, Chula Vista, CA 91910",4.8,204,No website,,255.0,https://www.google.com/maps/place/?q=place_id:ChIJJ05kHuZN2YARr7ps3b5juOg
Big Jim's 395 Grill,Sandwich shop,Vista,(760) 842-7303,"777 E Vista Way #204, Vista, CA 92084",4.8,204,No website,,255.0,https://www.google.com/maps/place/?q=place_id:ChIJv6-KiJB23IARCVpMtiniCYs
Woodside Car Wash,Car wash,Lakeside,(619) 607-8153,"12160 Woodside Ave, Lakeside, CA 92040",4,254,No website,,254.0,https://www.google.com/maps/place/?q=place_id:ChIJb1nnd3ni24ARGCzDrWhY-OE
Adams Avenue Self Service Car Wash,Self service car wash,San Diego,(619) 248-1344,"3302 Adams Ave, San Diego, CA 92116",3.8,254,No website,,254.0,https://www.google.com/maps/place/?q=place_id:ChIJ59Eq7lRU2YARhCW8y4m_q6c
Hillcrest Auto Repair,Auto repair shop,San Diego,(619) 297-4059,"3864 First Ave., San Diego, CA 92103",4.6,203,No website,,253.8,https://www.google.com/maps/place/?q=place_id:ChIJrTiN-NBU2YARaQw7CEpq79A
George's Cafe,Brunch restaurant,San Diego,(619) 624-0609,"4012 43rd St, San Diego, CA 92105",4.7,203,No website,,253.8,https://www.google.com/maps/place/?q=place_id:ChIJdVgE5T9U2YARIftiogCDnqI
Junior's Taco Shop,Mexican restaurant,Escondido,(760) 975-3910,"1102 Industrial Ave, Escondido, CA 92029",4.6,202,No website,,252.5,https://www.google.com/maps/place/?q=place_id:ChIJBU7Tyuz024ARwjcy43zeq2k
